Company,Phone Number,Map Link,Website,Linkedin,E Mail
Expertia AI,Not present on google business profiles,https://www.google.com/maps/place/Expertia+AI/data=!4m7!3m6!1s0x3bae15a882f39817:0x1c50ab198ef42faf!8m2!3d12.9160038!4d77.6521995!16s%2Fg%2F11t0t6xz8s!19sChIJF5jzgqgVrjsRry_0jhmrUBw?authuser=0&hl=en&rclk=1,https://expertia.ai/,https://in.linkedin.com/company/expertia-ai,"['support@expertia.ai', 'Email ID: *****@expertia.ai', 'akshay@expertia.ai', 's***@expertia.ai', 'guruprasad.shejwal@hmhrjobs.com']"
Beltech AI Private Limited,09845102222,https://www.google.com/maps/place/Beltech+AI+Private+Limited/data=!4m7!3m6!1s0x3bae173b28601027:0x4e78e39c00ec23c4!8m2!3d12.9848282!4d77.596323!16s%2Fg%2F11my1mlml2!19sChIJJxBgKDsXrjsRxCPsAJzjeE4?authuser=0&hl=en&rclk=1,http://www.beltech.ai/,https://in.linkedin.com/company/beltechai,"['kugunavar@gmail.com', 'agastya@beltech.ai', 'Email ID: *****@beltech.ai']"
Pixis AI,Not present on google business profiles,https://www.google.com/maps/place/Pixis+AI/data=!4m7!3m6!1s0x3bae159551e1ed0f:0xc17dc441e8ccebd3!8m2!3d12.9161285!4d77.6313894!16s%2Fg%2F11j7dcdrb1!19sChIJD-3hUZUVrjsR0-vM6EHEfcE?authuser=0&hl=en&rclk=1,https://pixis.ai/,https://www.linkedin.com/company/pixisai,"['dpo@pixis.ai', 'csglobal@pixis.ai', 'careers@pixis.ai', 'First.Last@pixis.ai', 'name@pixis.ai']"
SKELLAM AI PVT LTD,Not present on google business profiles,https://www.google.com/maps/place/SKELLAM+AI+PVT+LTD/data=!4m7!3m6!1s0x3bae11f5c7559a33:0x121899b374ca82b0!8m2!3d12.9909673!4d77.729707!16s%2Fg%2F11f2wdr2s9!19sChIJM5pVx_URrjsRsILKdLOZGBI?authuser=0&hl=en&rclk=1,http://www.skellam.ai/,https://in.linkedin.com/company/skellam-ai,"['avarun123@gmail.com', 'devinab@skellam.ai']"
Glider.ai,Not present on google business profiles,https://www.google.com/maps/place/Glider.ai/data=!4m7!3m6!1s0x3bae152fe2b3b227:0xda28459b5d0b19e3!8m2!3d12.9161348!4d77.6246871!16s%2Fg%2F11rcl8xtst!19sChIJJ7Kz4i8VrjsR4xkLXZtFKNo?authuser=0&hl=en&rclk=1,Not present on google business profiles,https://in.linkedin.com/company/gliderai,"['info@glider.ai', 'contact@glider.ai']"
Sanas AI Private Limited,Not present on google business profiles,https://www.google.com/maps/place/Sanas+AI+Private+Limited/data=!4m7!3m6!1s0x3bae15ef00851531:0x1ea0e8f6065878be!8m2!3d12.9177484!4d77.6709554!16s%2Fg%2F11t6n7277j!19sChIJMRWFAO8VrjsRvnhYBvbooB4?authuser=0&hl=en&rclk=1,http://www.sanas.ai/,https://in.linkedin.com/company/sanastech,"['cs@jaa-associates.com', 'info@sanas.ai', 'cs@xxxxx@jaa-associates.com']"
Telus International AI & Computer Vision,Not present on google business profiles,https://www.google.com/maps/place/Telus+International+AI+%26+Computer+Vision/data=!4m7!3m6!1s0x3bae1460720ce51d:0x496da4a16d223c79!8m2!3d12.9253831!4d77.6315577!16s%2Fg%2F11cpm8qwz4!19sChIJHeUMcmAUrjsReTwibaGkbUk?authuser=0&hl=en&rclk=1,https://www.playment.io/,https://in.linkedin.com/in/akshaykumarlal,"['xxxx@playment.io', 'Email ID: *****@playment.io', ""Sowjanya Chebiyyam's business email address is s***@playment.io"", 'vinayshankar.cnet@gmail.com']"
curota.ai,Not present on google business profiles,https://www.google.com/maps/place/curota.ai/data=!4m7!3m6!1s0x3bae19d55d3e3b1b:0xe420f4e5d39ca253!8m2!3d13.0586545!4d77.5923205!16s%2Fg%2F11wfn1rwmc!19sChIJGzs-XdUZrjsRU6Kc0-X0IOQ?authuser=0&hl=en&rclk=1,https://www.curota.ai/,https://in.linkedin.com/company/curota-ai,['Email ID:hello@curota.ai']
Waterlabs.AI,Not present on google business profiles,https://www.google.com/maps/place/Waterlabs.AI/data=!4m7!3m6!1s0x3bae0f1d086256e9:0xef983f681a31ad67!8m2!3d13.0540934!4d77.761494!16s%2Fg%2F11rc4sltq2!19sChIJ6VZiCB0PrjsRZ60xGmg_mO8?authuser=0&hl=en&rclk=1,http://waterlabs.ai/,https://www.linkedin.com/company/waterlabsai,"['info@waterlabs.ai', 'name@waterlabs.ai']"
Sumeru Digital Solutions Private Limited,08971227735,https://www.google.com/maps/place/Sumeru+Digital+Solutions+Private+Limited/data=!4m7!3m6!1s0x3bae439988d9a405:0x8b32ff9993906daf!8m2!3d12.8189603!4d77.5137409!16s%2Fg%2F11rn0tkk53!19sChIJBaTZiJlDrjsRr22Qk5n_Mos?authuser=0&hl=en&rclk=1,https://sumerudigital.com/,https://in.linkedin.com/company/sumeru-digital-solutions,"['info@sumerudigital.com', 'example@gmail.com', 'first@sumerudigital.com', 'Email:info@example.com', 'abhijeetrandhir@gmail.com', 'ayush@sumerudigital.com', 'career@sumerudigital.com']"
Crossroad Elf DSS Pvt. Ltd | Data Analytics | Data Engineering | Decision Science Systems Company,07899757299,https://www.google.com/maps/place/Crossroad+Elf+DSS+Pvt.+Ltd+%7C+Data+Analytics+%7C+Data+Engineering+%7C+Decision+Science+Systems+Company/data=!4m7!3m6!1s0x3bae14ed438c693b:0x1d2f5884691539a4!8m2!3d12.9125188!4d77.6359263!16s%2Fg%2F11g8c8jks4!19sChIJO2mMQ-0UrjsRpDkVaYRYLx0?authuser=0&hl=en&rclk=1,https://www.crossroadelf.com/,https://in.linkedin.com/company/crossroadelfdsspvtltd,"['name@crossroadelf.com', 'punyeshl@gmail.com', 'xxxx@crossroadelf.com', 'info@crossroadelf.com']"
Trigeminal.ai,Not present on google business profiles,https://www.google.com/maps/place/Trigeminal.ai/data=!4m7!3m6!1s0x3bae154f2a1ee443:0x37dbe5d07379794a!8m2!3d12.9369126!4d77.6187807!16s%2Fg%2F11sdbd_d61!19sChIJQ-QeKk8VrjsRSnl5c9Dl2zc?authuser=0&hl=en&rclk=1,https://trigeminal.ai/,https://in.linkedin.com/company/trigeminal,"['info@trigeminal.ai', 'info@trigeminal', 'mahamood@trigeminal.ai']"
Fibr AI (SeamlessAI Softtech Private Limited),Not present on google business profiles,https://www.google.com/maps/place/Fibr+AI+%28SeamlessAI+Softtech+Private+Limited%29/data=!4m7!3m6!1s0x3bae15cfd19005bf:0x3dcb25ff2dabf0ce!8m2!3d12.9090677!4d77.6461026!16s%2Fg%2F11jsgwcfpg!19sChIJvwWQ0c8VrjsRzvCrLf8lyz0?authuser=0&hl=en&rclk=1,https://fibr.ai/,https://in.linkedin.com/company/fibrai,"['pr****@fibr.ai', 'roypritam6@gmail.com', 'meenal@fibr.ai']"
Origamis AI (Navadhi Intellisys Private Limited),09972064717,https://www.google.com/maps/place/Origamis+AI+%28Navadhi+Intellisys+Private+Limited%29/data=!4m7!3m6!1s0x3bae154d6e4afa1b:0x3a2ae6c4efb43a3b!8m2!3d12.905076!4d77.6490764!16s%2Fg%2F11wmms2tqm!19sChIJG_pKbk0VrjsROzq078TmKjo?authuser=0&hl=en&rclk=1,https://origamis.ai/,https://sg.linkedin.com/company/origamis-ai,['info@origamis.ai']
Factri.Ai,Not present on google business profiles,https://www.google.com/maps/place/Factri.Ai/data=!4m7!3m6!1s0x3bae17804c5f3cc5:0x75c0d2fa2f67dae1!8m2!3d12.9717747!4d77.6422431!16s%2Fg%2F11rdbx0y8x!19sChIJxTxfTIAXrjsR4dpnL_rSwHU?authuser=0&hl=en&rclk=1,http://www.factri.ai/,https://in.linkedin.com/company/factri-ai,['privacy@factory.ai']
Inkers Technology Pvt Ltd,Not present on google business profiles,https://www.google.com/maps/place/Inkers+Technology+Pvt+Ltd/data=!4m7!3m6!1s0x3bae1512acdff363:0x3f878bf92e6ce443!8m2!3d12.9110344!4d77.6307796!16s%2Fg%2F11gmyrf6w1!19sChIJY_PfrBIVrjsRQ-RsLvmLhz8?authuser=0&hl=en&rclk=1,http://www.inkers.ai/,https://in.linkedin.com/company/inkersai,"['sales@inkers.ai', 'support@theinkers.com']"
Concentric AI,Not present on google business profiles,https://www.google.com/maps/place/Concentric+AI/data=!4m7!3m6!1s0x3bae134046e12441:0x9f314fb2cbcfdb01!8m2!3d12.9311056!4d77.6855271!16s%2Fg%2F11h_3yxwbd!19sChIJQSThRkATrjsRAdvPy7JPMZ8?authuser=0&hl=en&rclk=1,http://concentric.ai/,https://www.linkedin.com/company/concentricinc,"['info@concentric.ai', 'First@concentric.ai', 'akanksham0894@gmail.com']"
Angadi World Technologies Pvt Ltd,09110314465,https://www.google.com/maps/place/Angadi+World+Technologies+Pvt+Ltd/data=!4m7!3m6!1s0x3bae11883c1c8975:0xcd160c2477cb1ba5!8m2!3d13.0116621!4d77.6716627!16s%2Fg%2F11g4dtw6px!19sChIJdYkcPIgRrjsRpRvLdyQMFs0?authuser=0&hl=en&rclk=1,https://angadiworldtech.com/,https://in.linkedin.com/company/awt-technology,"['info@angadiworldtech.com', 'sravan@angadiworldtech.com']"
Convozen Conversational AI Platform,Not present on google business profiles,https://www.google.com/maps/place/Convozen+Conversational+AI+Platform/data=!4m7!3m6!1s0x60637a792b41b0bf:0x45a3c1cf95130568!8m2!3d21.0680074!4d82.7525294!16s%2Fg%2F11md0g0fkk!19sChIJv7BBK3l6Y2ARaAUTlc_Bo0U?authuser=0&hl=en&rclk=1,https://convozen.ai/,https://in.linkedin.com/company/convozen-ai,['contact@convozen.ai']
Digitap.AI Enterprise Solutions Private Limited,Not present on google business profiles,https://www.google.com/maps/place/Digitap.AI+Enterprise+Solutions+Private+Limited/data=!4m7!3m6!1s0x3bae15f987377565:0x29c3616e56e72d8f!8m2!3d12.9568058!4d77.6999666!16s%2Fg%2F11p5gbgqp_!19sChIJZXU3h_kVrjsRjy3nVm5hwyk?authuser=0&hl=en&rclk=1,https://www.digitap.ai/contact-us.html,https://in.linkedin.com/company/digitap-ai,"['info@digitap.ai', 'knageen@gmail.com', 'Email: ankoor@digitap.ai', 'knaxxxxx@gmail.com']"
Peoplebox.ai,Not present on google business profiles,https://www.google.com/maps/place/Peoplebox.ai/data=!4m7!3m6!1s0x3bae153356c15675:0x7580539aafc2e9d6!8m2!3d12.9174464!4d77.6273681!16s%2Fg%2F11fl8ppp30!19sChIJdVbBVjMVrjsR1unCr5pTgHU?authuser=0&hl=en&rclk=1,https://www.peoplebox.ai/,https://in.linkedin.com/company/peopleboxai,"['hello@peoplebox.ai', 'support@peoplebox.ai', 'name@peoplebox.ai', ""Peoplebox.ai's email format typically follows the pattern of Last@peoplebox.ai""]"
Murf AI,Not present on google business profiles,https://www.google.com/maps/place/Murf+AI/data=!4m7!3m6!1s0x3bae1596fb607653:0x9e95a7a56647b9d!8m2!3d12.9102862!4d77.644681!16s%2Fg%2F11jslm150g!19sChIJU3Zg-5YVrjsRnXtkVnpa6Qk?authuser=0&hl=en&rclk=1,https://murf.ai/,https://www.linkedin.com/company/murf-ai,"['Customer Support · support@murf.ai', 'support@murf.ai', 'Customer support: support@murf.ai', 'community@murf.ai']"
